Legales	Psicológicas	Sociales	Expediente	N° de expediente	Digital	Presencial	Aviso	Interna	Externa	Atención a mujer víctima	Atención a familiares	Edad	Procedencia	Discapacidad	Orientación sexual	Etnia	Nacionalidad	Embarazo	Nivel académico	Violencia LCVIF	Violencia Delitos	Discriminación	Acciones positivas	Grupo de Autoayuda	Modalidad de violencia	Física	Psicológica y emocional	Económica	Patrimonial	Sexual	Simbólica	Feminicida	Intervención Inicial	Primeros auxilios psicológicos	Evaluación del Riesgo legal	Toma de denuncia legal	Solicitud de medidas	Solicitud de repación del daño	Hijos e hijas	Persona adulta mayor	Usuaria	VIF derivados a FGR	Otras derivación Realizada	Gestión de  Red de apoyo	Gestión de albergue o casas de acogida	Acompañamiento administrativo	Acompañamiento judicial	Representación Legal	Preparación de prueba	audiencia etapa judicial	audiencia etapa administrativa	Recursos	Monto efectivo en concepto de reparación	Monto efectivo en concepto de cuota alimenticia	Judicialización de certificación a FGR	Informes	Reportes	Monitoreo de Medidas legal	Presenciales	Virtuales	Otras diligencias	Intervención Inicial.1	Atención en Crisis	Primeros auxilios psicológicos.1	Evaluación de Riesgo psico	Plan de seguridad psico	Toma de denuncia psico	Solicitud de medidas.1	Solicitud de repación del daño.1	Hijos e hijas.1	Persona adulta mayor.1	Usuaria.1	Derivación Realizada	Gestión de Red de apoyo	Gestión de  albergue o casa de acogida	Acompañamiento administrativo.1	Acompañamiento judicial.1	Presenciales.1	Virtuales.1	Evaluación de Ingreso a GAA	Informe Psicológico	Reporte Psicológico	Monitoreo de Medidas psico	Evaluación de Egreso de GAA	Presencial.1	Virtual	Otras diligencias.1	Intervención Inicial.2	Primeros auxilios psicológicos.2	Evaluación del riesgo social	Plan de Seguridad social	Toma de Denuncia social	Solicitud de medidas.2	Solicitud de repación del daño.2	Hijos e hijas.2	Persona adulta mayor.2	Usuaria.2	Derivación Realizada.1	Gestión de Redes de Apoyo	Gestión de albergue o casas de acogida.1	Acompañamiento administrativo.2	Acompañamiento judicial.2	Investigaciones	Entrevistas realizadas	Visitas realizadas	Evaluación de Ingreso a GAA.1	Informes de Trabajo Social	Reporte de Trabajo Social	Monitoreo de medidas social	Evaluación de Egreso de GAA.1	Presencial.2	Virtuales.2	Otras diligencias.2	Sexo	Edad.1	Adminsitrativo	Judicial	Expedientes finalizados	mes	pad
			Nuevo	2-UIAEM3-25								29.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Secundaria	1.0					Familiar		True															1.0	1.0				1.0		1.0									1.0		1.0	2.0	1.0			1.0		1.0	Protección	Pecuniaria													1.0				1.0																																True	enero	ahuachapan
			Nuevo	3-UIAEM3-25								29.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Primaria	1.0					Familiar		True						1.0		1.0							1.0	2.0				1.0		1.0									1.0	1.0	1.0	2.0	1.0			1.0		1.0	Protección	Pecuniaria																																																		enero	ahuachapan
			Nuevo	4-UIAEM3-25								22.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Secundaria	1.0					Familiar	True	True	True		True			1.0		1.0							1.0	1.0															1.0	1.0	1.0	2.0	1.0			1.0		1.0	Protección	Pecuniaria																	2.0																																	enero	ahuachapan
			Nuevo	6-UIAEM3-25								53.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Primaria	1.0					Familiar	True	True		True				1.0										2.0				2.0		1.0	1.0											5.0	1.0			1.0		1.0	Protección	Pecuniaria																																																		enero	ahuachapan
			Nuevo	8-UIAEM3-25								22.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Primaria	1.0					Familiar	True	True						1.0	1.0	1.0	1.0	Protección	Pecuniaria				1.0	1.0						1.0									1.0	1.0	1.0	2.0																			1.0																																							enero	ahuachapan
			Nuevo	9-UIAEM3-25								59.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Primaria	1.0					Familiar	True	True						1.0																1.0												2.0	1.0			1.0		1.0	Protección	Pecuniaria																																																		enero	ahuachapan
			Nuevo	16-UIAEM3-25								47.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Primaria	1.0					Familiar		True	True					1.0		1.0													1.0		1.0								1.0			1.0	1.0			1.0		1.0	Protección	Pecuniaria																	2.0																															Favorable		enero	ahuachapan
			Nuevo	19-UIAEM3-25			1.0					30.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Bachillerato				1.0		Familiar	True	True						1.0		1.0																										1.0																										1.0																											Mujer	30.0	Favorable		True	enero	ahuachapan
			Nuevo	20-UIAEM3-25								36.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Bachillerato	1.0					Familiar	True	True	True					1.0		1.0																											1.0	1.0		1.0																																																						enero	ahuachapan
			Nuevo	24-UIAEM3-25		1.0						29.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Secundaria	1.0					Familiar		True	True															1.0						1.0									1.0	1.0	1.0	2.0	1.0			1.0		1.0	Protección	Pecuniaria				1.0													1.0																												Mujer	3.0				enero	ahuachapan
			Nuevo	25-UIAEM3-25								30.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Bachillerato	1.0					Familiar		True						1.0		1.0																											1.0			1.0																																																						enero	ahuachapan
			Nuevo	26-UIAEM3-25								32.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Primaria	1.0					Familiar		True						1.0		1.0																																																				2.0																																enero	ahuachapan
			Nuevo	30-UIAEM3-25		1.0						43.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Ninguna	1.0					Familiar	True	True		True									Pecuniaria					2.0	1.0					1.0										1.0	1.0	3.0	1.0			1.0		1.0	Protección	Pecuniaria																		1.0																											Hombre	17.0				enero	ahuachapan
			Nuevo	31-UIAEM3-25								53.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Universitaria		1.0				Comunitaria		True		True				1.0		1.0																										2.0	1.0			1.0		1.0	Protección	Pecuniaria																1.0	1.0																																	enero	ahuachapan
			Nuevo	32-UIAEM3-25								37.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Bachillerato	1.0					Familiar		True		True				1.0		1.0	1.0	Protección	Pecuniaria																							2.0	1.0			1.0		1.0	Protección	Pecuniaria																																																		enero	ahuachapan
			Nuevo	33-UIAEM3-25								36.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Secundaria				1.0		Familiar		True						1.0		1.0																																																			2.0																																	enero	ahuachapan
			Nuevo	34-UIAEM3-25		1.0						52.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Secundaria	1.0					Familiar		True						1.0																									1.0		2.0	2.0	1.0			1.0		1.0	Protección	Pecuniaria																																																		enero	ahuachapan
	1.0					1.0						26.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Primaria	1.0					Familiar		True																																																																																												enero	ahuachapan
	1.0					1.0						29.0	Rural	Intelectual	HETEROSEXUAL	No se identifica	Salvadoreña		Técnica	1.0					Familiar		True																																																																																												enero	ahuachapan
	1.0					2.0						26.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Bachillerato	1.0					Familiar		True																																																																																												enero	ahuachapan
			Nuevo	01-UIAEM3-25		1.0						55.0	Rural	Física	HETEROSEXUAL	No se identifica	Salvadoreña		Ninguna				1.0		Familiar			True																																																																																											enero	ahuachapan
			Nuevo	07-uiaem3-25	1.0							28.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Secundaria		1.0				Familiar		True						1.0		1.0												1.0														1.0																																																					Mujer	7.0				enero	ahuachapan
			Nuevo																																												1.0																																																																			Hombre	12.0				enero	ahuachapan
			Nuevo	10-uiaem3-25								34.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Universitaria	1.0					Familiar	True	True						1.0		1.0																																																																															Mujer	0.0				enero	ahuachapan
			Seguimiento a expedientes activos	34-UIAEM-3-24		1.0						17.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Bachillerato		1.0				Comunitaria		True			True																	1.0		1.0												3.0																																																										enero	ahuachapan
			Seguimiento a expedientes activos	53-UIAEM-3-24		1.0						53.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Primaria		1.0				Familiar		True		True			True											1.0				1.0		1.0												3.0																																																					Mujer	7.0				enero	ahuachapan
			Nuevo	13-uiaem3-25		1.0						76.0	Urbana	Auditiva	HETEROSEXUAL	No se identifica	Salvadoreña		Secundaria	1.0					Familiar		True		True				1.0		1.0	1.0	Protección	Pecuniaria										1.0		1.0											2.0																																																										enero	ahuachapan
			Seguimiento a expedientes activos	56-UIAEM-3-24		1.0						24.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Primaria		1.0				Familiar	True	True					True																													2.0																																																					Hombre	7.0				enero	ahuachapan
			Seguimiento a expedientes activos	57-UIAEM-3-24		1.0						27.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Bachillerato		1.0				Familiar	True	True					True						Pecuniaria					1.0																		2.0																																																					Hombre	6.0				enero	ahuachapan
			Seguimiento a expedientes activos	59-UIAEM-3-24		1.0						20.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Primaria		1.0				Familiar		True					True						Pecuniaria					1.0																		2.0																																																					Mujer	3.0				enero	ahuachapan
			Seguimiento a expedientes activos	141-UIAEM-3-24		1.0						57.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Secundaria		1.0				Familiar		True			True								Pecuniaria					1.0																		2.0																																																					Hombre	16.0				enero	ahuachapan
			Seguimiento a expedientes activos	151-UIAEM-3-24		1.0						24.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Primaria		1.0				Familiar		True		True			True						Pecuniaria					1.0																		2.0																																																					Hombre	11.0				enero	ahuachapan
			Seguimiento a expedientes activos	176-UIAEM-3-24		1.0						33.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Primaria		1.0				Familiar		True	True	True									Pecuniaria					1.0																		2.0																																																					Mujer	3.0				enero	ahuachapan
			Seguimiento a expedientes activos	195-UIAEM-3-24		1.0						31.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Bachillerato	1.0					Familiar	True	True	True	True									Pecuniaria					1.0																		2.0																																																					Hombre	3.0				enero	ahuachapan
			Seguimiento a expedientes activos	118-UIAEM-3-24		1.0						31.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Secundaria		1.0					True	True	True															1.0				1.0			1.0											2.0																																																					Hombre	14.0				enero	ahuachapan
			Seguimiento a expedientes activos	212-UIAEM-3-24		1.0						45.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Bachillerato		1.0				Familiar	True	True	True	True														1.0																		2.0																																																					Hombre	1.0				enero	ahuachapan
			Seguimiento a expedientes activos	211-UIAEM-3-24		1.0						18.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Bachillerato		1.0				Familiar	True	True											Pecuniaria					1.0																		2.0																																																										enero	ahuachapan
			Seguimiento a expedientes activos	217-UIAEM-3-24		1.0						37.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Técnica	1.0					Familiar	True	True	True	True									Pecuniaria					1.0																		3.0																																																					Hombre	12.0				enero	ahuachapan
			Seguimiento a expedientes activos	218-UIAEM-3-24		1.0						27.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Bachillerato		1.0				Familiar	True	True		True									Pecuniaria	1.0				1.0				1.0														2.0																																																					Hombre	1.0				enero	ahuachapan
			Seguimiento a expedientes activos																																			Pecuniaria	2.0				1.0																																																																							Mujer	6.0				enero	ahuachapan
			Seguimiento a expedientes activos	220-UIAEM-3-24		1.0						37.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Técnica		1.0				Familiar		True		True																																3.0																																																					Hombre	12.0				enero	ahuachapan
			Seguimiento a expedientes activos	221-UIAEM-3-24		1.0						29.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Bachillerato	1.0					Familiar	True	True	True	True									Pecuniaria	1.0				1.0				2.0														2.0																																																					Mujer	5.0				enero	ahuachapan
			Seguimiento a expedientes activos	114- UIAEM-3-24		1.0						47.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Primaria		1.0				Familiar		True	True	True									Pecuniaria	1.0				1.0				2.0		1.0	1.0								1.0			5.0																																																										enero	ahuachapan
			Seguimiento a expedientes activos	189-UIAEM-3-24		1.0						24.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Bachillerato		1.0				Familiar		True	True	True										1.0				2.0				2.0			1.0											4.0																																																					Hombre	3.0	Favorable			enero	ahuachapan
			Nuevo	23-uiaem3-25		1.0						30.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Ninguna	1.0					Familiar		True			True			1.0	1.0	1.0	1.0	Protección	No pecuniaria				1.0																1.0	1.0	1.0	1.0																																																					Hombre	8.0			True	enero	ahuachapan
			Nuevo	28-uiaem3-25		1.0						28.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Ninguna	1.0					Familiar	True	True	True	True				1.0			1.0	Protección	No pecuniaria					3.0				1.0											1.0	1.0	1.0	2.0																																																					Mujer	12.0			False	enero	ahuachapan
			Nuevo																																																																																																															Mujer	9.0			False	enero	ahuachapan
			Nuevo																																																																																																															Mujer	2.0			False	enero	ahuachapan
			Nuevo																																																																																																															Hombre	5.0			False	enero	ahuachapan
			Nuevo	5 -UIAEM-3-25		1.0						28.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Secundaria		1.0				Familiar		True		True				1.0		1.0	1.0							1.0						1.0									1.0		1.0	2.0																																																									False	enero	ahuachapan
			Nuevo	35-uiaem3-25		1.0						31.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Ninguna		1.0				Familiar	True	True	True	True				1.0		1.0																																																																															Mujer	12.0			False	enero	ahuachapan
			Nuevo																																																																																																															Mujer	9.0			False	enero	ahuachapan
			Nuevo																																																																																																															Hombre	5.0			False	enero	ahuachapan
			Nuevo																																																																																																															Mujer	2.0			False	enero	ahuachapan
			Seguimiento a expedientes activos	149-uiaem3-24		1.0						39.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Primaria	1.0					Familiar		True	True																														1.0	1.0		1.0																																																					Mujer	13.0			False	enero	ahuachapan
			Seguimiento a expedientes activos	78-uiaem3-23	1.0	1.0						47.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Ninguna		1.0				Familiar		True			True																															3.0																																																									False	enero	ahuachapan
			Seguimiento a expedientes activos	113-uiaem3-23		1.0						39.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Ninguna		1.0				Familiar					True																															1.0																																																					Mujer	9.0			False	enero	ahuachapan
			Seguimiento a expedientes activos	31-uiaem3-23	1.0	1.0						30.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Secundaria		1.0				Familiar	True	True			True								No pecuniaria									2.0			1.0											1.0																																																					Mujer	2.0			False	enero	ahuachapan
			Seguimiento a expedientes activos																																																																																																															Hombre	5.0			False	enero	ahuachapan
			Seguimiento a expedientes activos	185-uiaem3-24	1.0	1.0						43.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Ninguna		1.0				Comunitaria					True																	1.0			1.0											1.0																																																					Mujer	17.0			False	enero	ahuachapan
1.0						1.0						33.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Primaria						Comunitaria		True																																																																																											False	enero	ahuachapan
1.0						1.0						30.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Secundaria						Familiar		True																																																																																											False	enero	ahuachapan
1.0						1.0						25.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Secundaria						Laboral			True																																																																																										False	enero	ahuachapan
1.0						1.0						48.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Secundaria						Comunitaria				True																																																																																									False	enero	ahuachapan
1.0						1.0						43.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Ninguna						Familiar		True																																																																																											False	enero	ahuachapan
1.0						1.0						50.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Ninguna						Familiar																																																																																													False	enero	ahuachapan
			Nuevo	11- UIAEM-3-25		1.0						26.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Bachillerato				1.0		Familiar		True	True					1.0						1.0								2.0														3.0																																																					Hombre	4.0	Favorable		False	enero	ahuachapan
			Nuevo	12-UIAEM-3-25		1.0						22.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Primaria		1.0				Familiar		True	True	True				1.0					Pecuniaria											1.0									1.0		1.0	1.0																																																					Hombre	5.0			False	enero	ahuachapan
			Nuevo	14-UIAEM-3-25		1.0						34.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Universitaria		1.0				Familiar	True	True	True	True	True		True	1.0	1.0	1.0	1.0	Protección	Pecuniaria	1.0				2.0				2.0		1.0									1.0	1.0	1.0	4.0																																																					Mujer	3.0			False	enero	ahuachapan
			Nuevo	15-UIAEM-3-25		1.0						75.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Primaria	1.0					Familiar		True		True				1.0	1.0	1.0	1.0	Protección	Pecuniaria					2.0				2.0		1.0	1.0								1.0	2.0	2.0	3.0																																																									False	enero	ahuachapan
			Nuevo	17- UIAEM-3-25		1.0						44.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Secundaria		1.0				Familiar	True	True					True	1.0	1.0	1.0	1.0		Pecuniaria					1.0						1.0									1.0	2.0		3.0																																																									False	enero	ahuachapan
			Nuevo	18-UIAEM-3-25		1.0						47.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Primaria				1.0		Familiar		True						1.0		1.0	1.0							3.0				2.0														5.0																																																					Hombre	8.0			False	enero	ahuachapan
			Nuevo	21- UIAEM-3-25		1.0						31.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Secundaria	1.0					Familiar		True	True	True				1.0	1.0	1.0	1.0	Protección	Pecuniaria	1.0								1.0	1.0	1.0	1.0								1.0	1.0	2.0	3.0																																																					Hombre	12.0		Favorable	False	enero	ahuachapan
			Seguimiento a expedientes activos	219-UIAEM3-24		1.0						35.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Universitaria	1.0					Familiar	True	True		True			True																																																					1.0																																	False	enero	ahuachapan
			Nuevo	22-UIAEM-3-25		1.0						22.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Secundaria	1.0					Familiar		True		True				1.0	1.0	1.0	1.0	Protección	Pecuniaria																							2.0																																																					Mujer	5.0			False	enero	ahuachapan
			Nuevo	29-UIAEM-3-25		1.0						29.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Primaria				1.0		Familiar		True	True	True				1.0										1.0																		2.0																																																					Mujer	11.0			False	enero	ahuachapan
			Nuevo																																																																																																															Hombre	6.0			False	enero	ahuachapan
			Nuevo																																																																																																															Hombre	4.0			False	enero	ahuachapan
			Seguimiento a expedientes activos	223-UIAEM-3-24		1.0						56.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Ninguna				1.0		Familiar		True	True																																	2.0																																																							Favorable		False	enero	ahuachapan
			Seguimiento a expedientes activos	164- UIAEM-3-24		1.0						32.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Ninguna		1.0				Familiar	True	True	True	True			True																													2.0																																																									False	enero	ahuachapan
			Seguimiento a expedientes activos	142-UIAEM-3-24		1.0						37.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Ninguna		1.0				Familiar	True	True	True																																	2.0																																																									False	enero	ahuachapan
1.0						1.0						32.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Primaria						Familiar		True	True	True																																																																																									False	enero	ahuachapan
1.0						1.0						52.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Secundaria						Familiar		True		True																																																																																									False	enero	ahuachapan
1.0						1.0						32.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Bachillerato						Familiar		True	True	True																																																																																									False	enero	ahuachapan
1.0						1.0						38.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Primaria						Familiar			True	True																																																																																									False	enero	ahuachapan
1.0						1.0						52.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Secundaria						Familiar		True	True																																																																																										False	enero	ahuachapan
1.0						1.0						47.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Secundaria						Familiar		True																																																																																											False	enero	ahuachapan
1.0						1.0						47.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Ninguna						Familiar		True																																																																																											False	enero	ahuachapan
1.0						1.0						26.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Ninguna						Familiar		True																																																																																											False	enero	ahuachapan
1.0						1.0						24.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Secundaria						Familiar		True																																																																																											False	enero	ahuachapan
1.0						1.0						25.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Bachillerato						Familiar		True		True																																																																																									False	enero	ahuachapan
1.0						1.0						35.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Primaria						Familiar		True	True	True																																																																																									False	enero	ahuachapan
1.0						1.0						36.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Bachillerato						Familiar		True																																																																																											False	enero	ahuachapan
			Nuevo	27-UIAEM-3-25		1.0						27.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Bachillerato		1.0				Familiar		True																1.0				1.0		1.0									1.0		1.0	2.0																																																									False	enero	ahuachapan
			Seguimiento a expedientes activos	71-UIAEM3-24		1.0						45.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Bachillerato		1.0				Familiar		True	True																																																		1.0																																				Mujer	8.0				febrero	ahuachapan
			Seguimiento a expedientes activos																																																																																																															Mujer	6.0				febrero	ahuachapan
			Seguimiento a expedientes activos	114-UIAEM3-24	1.0							48.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña		Primaria		1.0				Familiar	True	True																																																							1.0				1.0																												Hombre	10.0				febrero	ahuachapan
