Fecha de Atención	DISTRITO	PROCEDENCIA	SERVICIOS BRINDADOS	Derivaciones	Casos antiguos	Casos nuevos	Naturaleza/tipologia	Sexo	Edad	Orientación sexual	Discapacidad	Etnia	Nacionalidad	Estado familiar	Nivel educativo	Sexo.1	Edad.1	Orientación sexual.1	Persona con discapacidad	Etnia.1	Nacionalidad.1	Estado familiar.1	Nivel educativo.1	Sexo.2	Edad.2	Orientación sexual.2	Discapacidad.1	PROGRAMACIÓN DE MEDIACIONES	Mediación instalada	Sesiones realizadas por casos mediados	Con acuerdo	Sin acuerdo	Mediaciones suspendidas	Finalización por desición técnica del mediador/a	Convocatoria realizada	Motivos de no realización de la mediación	Desistimiento del solicitante	Instalación de mediación	Seguimiento	Reapertura	Con acuerdo.1	Sin acuerdo.1	Supendidas por	Motivos de no realización de la mediación.1	MONTOS ACORDADOS	EXPEDIENTES FINALIZADOS	mes	pad
21/1/2025	TACUBA	S/P	Orientaciones/Asesorías				Familiar-->Uso de bien Familiar	Hombre	61.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	EDUCACIÓN BÁSICA																																enero	ahuachapan
22/1/2025	AHUACHAPAN	S/P	Orientaciones/Asesorías				Patrimonial-->Linderos	Hombre	70.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	EDUCACIÓN BÁSICA																																enero	ahuachapan
23/1/2025	AHUACHAPAN	S/P	Orientaciones/Asesorías				Patrimonial-->Incumplimiento de contrato o de venta	Hombre	58.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	BACHILLERATO																																enero	ahuachapan
27/1/2025	ATIQUIZAYA	S/P	Orientaciones/Asesorías				Familiar-->Otros	Hombre	35.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO																																enero	ahuachapan
28/1/2025	AHUACHAPAN	S/P	Orientaciones/Asesorías				Patrimonial-->Otros	Hombre	68.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	N/E																																enero	ahuachapan
28/1/2025	SAN FRANCISCO MENENDEZ	S/P	Orientaciones/Asesorías				Niñez y adolescencia-->Cuidado personal	Hombre	30.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																																enero	ahuachapan
28/1/2025	EL REFUGIO	S/P	Orientaciones/Asesorías				Convivencia-->Vecinal	Mujer	43.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	N/E																																enero	ahuachapan
30/1/2025	SAN FRANCISCO MENENDEZ	S/P	Orientaciones/Asesorías				Patrimonial-->Incumplimiento de contrato o de venta	Mujer	63.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	N/E																																enero	ahuachapan
30/1/2025	AHUACHAPAN	S/P	Orientaciones/Asesorías				Convivencia-->Vecinal	Mujer	50.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	UNIVERSITARIO																																enero	ahuachapan
30/1/2025	TACUBA	S/P	Orientaciones/Asesorías				Convivencia-->Otros	Mujer	52.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	EDUCACIÓN BÁSICA																																enero	ahuachapan
31/1/2025	SAN FRANCISCO MENENDEZ	S/P	Orientaciones/Asesorías				Niñez y adolescencia-->Cuidado personal	Mujer	27.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																																enero	ahuachapan
					641-UMYC-03-24		Familiar-->Uso de bien Familiar	Mujer	35.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO	Hombre	36.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO					1° Convocatoria	1° Convocatoria					NO ES PERSONA IDÓNEA												ARCHIVO DEFINITIVO	enero	ahuachapan
					604-UMYC-03-24		Patrimonial-->Deuda	Mujer	47.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	EDUCACIÓN BÁSICA	Mujer	58.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA					2° Convocatoria	2° Convocatoria	UNA SESIÓN	DEFINITIVO														$569.00	ARCHIVO DEFINITIVO	enero	ahuachapan
					620-UMYC-0324-		Convivencia-->Otros	Mujer	44.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	UNIVERSITARIO																				2° Convocatoria	INASISTENCIA DEL CONVOCADO/A										ARCHIVO DEFINITIVO	enero	ahuachapan
					628-UMYC-03-24		Niñez y adolescencia-->Cuidado personal	Hombre	26.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA	Mujer	35.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	EDUCACIÓN BÁSICA					2° Convocatoria	2° Convocatoria	UNA SESIÓN		1.0														ARCHIVO DEFINITIVO	enero	ahuachapan
					623-UMYC-03-4		Patrimonial-->Deuda	Mujer	47.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	EDUCACIÓN BÁSICA																				1° Convocatoria	DECISIÓN TÉCNICA DEL MEDIADOR/A										ARCHIVO DEFINITIVO	enero	ahuachapan
					201-UMYC-03-24		Patrimonial-->Otros	Hombre	28.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	UNIVERSITARIO													2° Convocatoria										2° Convocatoria		INCUMPLIMIENTO				INASISTENCIA DEL CONVOCADO/A		ARCHIVO DEFINITIVO	enero	ahuachapan
					306-UMYC-03-24		Patrimonial-->Deuda	Mujer	46.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	EDUCACIÓN BÁSICA	Mujer	42.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	TÉCNICO					1° Convocatoria										1° Convocatoria		INCUMPLIMIENTO	DEFINITIVO					ARCHIVO DEFINITIVO	enero	ahuachapan
					642-UMYC-03-24		Patrimonial-->Deuda	Mujer	40.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	EDUCACIÓN BÁSICA	Mujer	41.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	UNIVERSITARIO					1° Convocatoria	1° Convocatoria	UNA SESIÓN		1.0														ARCHIVO DEFINITIVO	enero	ahuachapan
					643-UMYC-03-24		Niñez y adolescencia-->Régimen de relación y trato	Hombre	25.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA	Hombre	35.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA	Mujer	8	Heterosexual	Ninguna	1° Convocatoria	1° Convocatoria	UNA SESIÓN				VIOLENCIA INTRAFAMILIAR												ARCHIVO DEFINITIVO	enero	ahuachapan
					644-UMYC-03-24		Patrimonial-->Otros	Hombre	79.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	N/E	Mujer	52.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	VIUDO/A	EDUCACIÓN BÁSICA					1° Convocatoria	1° Convocatoria	UNA SESIÓN	DEFINITIVO															ARCHIVO DEFINITIVO	enero	ahuachapan
					645-UMYC-03-24		Niñez y adolescencia-->Régimen de relación y trato	Hombre	25.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	BACHILLERATO	Mujer	31.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	BACHILLERATO	Hombre	7	Heterosexual	Ninguna	1° Convocatoria	1° Convocatoria	UNA SESIÓN	DEFINITIVO															ARCHIVO DEFINITIVO	enero	ahuachapan
					616-UMYC-03-24		Patrimonial-->Deuda	Mujer	25.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																				2° Convocatoria	INASISTENCIA DEL CONVOCADO/A										ARCHIVO DEFINITIVO	enero	ahuachapan
					647-UMYC-03-24		Patrimonial-->Deuda	Mujer	47.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA	Hombre	84.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	UNIVERSITARIO												2° Convocatoria	INASISTENCIA DEL CONVOCADO/A										ARCHIVO DEFINITIVO	enero	ahuachapan
					646-UMYC-03-24		Patrimonial-->Deuda	Hombre	29.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	UNIVERSITARIO																				1° Convocatoria	INASISTENCIA DE AMBAS PARTES										ARCHIVO DEFINITIVO	enero	ahuachapan
					637-UMYC-03-24		Patrimonial-->Deuda	Mujer	49.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	UNIVERSITARIO																				2° Convocatoria	INASISTENCIA DEL CONVOCADO/A										ARCHIVO DEFINITIVO	enero	ahuachapan
					648-UMYC-03-24		Niñez y adolescencia-->Régimen de relación y trato	Hombre	19.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA	Mujer	19.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA	Hombre	1	Heterosexual	Ninguna	2° Convocatoria	2° Convocatoria	UNA SESIÓN	DEFINITIVO															ARCHIVO DEFINITIVO	enero	ahuachapan
					649-UMYC-03-24		Patrimonial-->Deuda	Mujer	23.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO																				2° Convocatoria	INASISTENCIA DEL CONVOCADO/A										ARCHIVO DEFINITIVO	enero	ahuachapan
					02-UMYC-03-24		Patrimonial-->Deuda	Hombre	78.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO																DEFINITIVO				1° Convocatoria	RESOLVIÓ FUERA DE LA PGR										ARCHIVO DEFINITIVO	enero	ahuachapan
					581-UMYC-03-24		Patrimonial-->Deuda	Mujer	36.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	UNIVERSITARIO																				2° Convocatoria	INASISTENCIA DEL CONVOCADO/A										ARCHIVO DEFINITIVO	enero	ahuachapan
					638-UMYC-03-24		Niñez y adolescencia-->Cuidado personal	Mujer	31.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO																				1° Convocatoria		NO DESEA SEGUIR									ARCHIVO DEFINITIVO	enero	ahuachapan
					640-UMYC-03-24		Niñez y adolescencia-->Autorización de pasaporte	Mujer	40.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	N/E																				1° Convocatoria	INASISTENCIA DE AMBAS PARTES										ARCHIVO DEFINITIVO	enero	ahuachapan
					622-UMYC-03-24		Familiar-->Uso de bien Familiar	Mujer	75.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA	Mujer	72.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	EDUCACIÓN BÁSICA					1° Convocatoria	1° Convocatoria	UNA SESIÓN		1.0														ARCHIVO DEFINITIVO	enero	ahuachapan
																Mujer	29.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	UNIVERSITARIO																								enero	ahuachapan
1/6/2025	Ahuachapan	S/P	Ingresos a Mediación			01-UMYC-03-25	Niñez y adolescencia-->Cuidado personal	Mujer	46.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																				2° Convocatoria	INASISTENCIA DEL CONVOCADO/A										ARCHIVO DEFINITIVO	enero	ahuachapan
1/6/2025	Ahuachapan	S/P	Ingresos a Mediación			02-UMYC-03-25	Niñez y adolescencia-->Cuidado personal	Hombre	36.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA	Hombre	22.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO	Hombre	4	Heterosexual	Ninguna	1° Convocatoria	1° Convocatoria	UNA SESIÓN	DEFINITIVO															ARCHIVO DEFINITIVO	enero	ahuachapan
1/6/2025	ATIQUIZAYA	S/P	Ingresos a Mediación			03-UMYC-03-25	Patrimonial-->Deuda	Mujer	27.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO																DEFINITIVO				1° Convocatoria	RESOLVIÓ FUERA DE LA PGR										ARCHIVO DEFINITIVO	enero	ahuachapan
1/6/2025	Ahuachapan	S/P	Ingresos a Mediación			04-UMYC-03-25	Patrimonial-->Deuda	Mujer	29.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	UNIVERSITARIO																				2° Convocatoria	INASISTENCIA DEL CONVOCADO/A										ARCHIVO DEFINITIVO	enero	ahuachapan
1/6/2025	Turin	S/P	Ingresos a Mediación			05-UMYC-03-25	Niñez y adolescencia-->Régimen de relación y trato	Hombre	53.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	UNIVERSITARIO																				1° Convocatoria	INASISTENCIA DE AMBAS PARTES										ARCHIVO DEFINITIVO	enero	ahuachapan
1/6/2025	Ahuachapan	S/P	Ingresos a Mediación			06-UMYC-03-25	Patrimonial-->Deuda	Mujer	76.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	VIUDO/A	BACHILLERATO	Mujer	46.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	UNIVERSITARIO					1° Convocatoria	1° Convocatoria	UNA SESIÓN		1.0														ARCHIVO DEFINITIVO	enero	ahuachapan
								Mujer	43.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	BACHILLERATO																																enero	ahuachapan
1/7/2025	Ahuachapan	S/P	Ingresos a Mediación			07-UMYC-03-25	Patrimonial-->Deuda	Mujer	73.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	VIUDO/A	EDUCACIÓN BÁSICA	Mujer	42.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	UNIVERSITARIO					2° Convocatoria	1° Convocatoria	UNA SESIÓN	DEFINITIVO															ARCHIVO DEFINITIVO	enero	ahuachapan
1/8/2025	Guaymango	S/P	Ingresos a Mediación			08-UMYC-03-25	Niñez y adolescencia-->Régimen de relación y trato	Hombre	30.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA	Mujer	21.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA					1° Convocatoria	1° Convocatoria	UNA SESIÓN	DEFINITIVO															ARCHIVO DEFINITIVO	enero	ahuachapan
1/8/2025	Ahuachapan	S/P	Ingresos a Mediación			09-UMYC-03-25	Patrimonial-->Deuda	Mujer	36.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	UNIVERSITARIO	Hombre	28.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO					1° Convocatoria	1° Convocatoria	UNA SESIÓN	DEFINITIVO														$2,500.00	ARCHIVO DEFINITIVO	enero	ahuachapan
1/8/2025	Ahuachapan	S/P	Ingresos a Mediación			10-UMYC-03-25	Patrimonial-->Deuda	Mujer	37.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	UNIVERSITARIO																				2° Convocatoria	INASISTENCIA DEL CONVOCADO/A										ARCHIVO DEFINITIVO	enero	ahuachapan
1/8/2025	Ahuachapan	S/P	Ingresos a Mediación			11-UMYC-03-25	Niñez y adolescencia-->Régimen de relación y trato	Mujer	26.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO	Hombre	27.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO	Mujer	1	Heterosexual	Ninguna	1° Convocatoria	1° Convocatoria	UNA SESIÓN	DEFINITIVO															ARCHIVO DEFINITIVO	enero	ahuachapan
1/9/2025	TACUBA	S/P	Ingresos a Mediación			12-UMYC-03-26	Patrimonial-->Otros	Hombre	60.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	EDUCACIÓN BÁSICA	Hombre	50.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA					1° Convocatoria	1° Convocatoria	UNA SESIÓN		1.0														ARCHIVO DEFINITIVO	enero	ahuachapan
1/10/2025	atiquizaya	S/P	Ingresos a Mediación			13-UMYC-03-25	Patrimonial-->Otros	Hombre	34.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	UNIVERSITARIO	Hombre	31.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO					1° Convocatoria	1° Convocatoria	UNA SESIÓN	DEFINITIVO															ARCHIVO DEFINITIVO	enero	ahuachapan
13/1/2025	chalchuapa	S/P	Ingresos a Mediación			14-UMYC-03-26	Patrimonial-->Deuda	Mujer	36.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	UNIVERSITARIO																				2° Convocatoria	INASISTENCIA DEL CONVOCADO/A										ARCHIVO DEFINITIVO	enero	ahuachapan
13/1/2025	ahuachapan	S/P	Ingresos a Mediación			15-UMYC-03-25	Patrimonial-->Deuda	Mujer	39.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	UNIVERSITARIO																				2° Convocatoria	INASISTENCIA DEL CONVOCADO/A										ARCHIVO DEFINITIVO	enero	ahuachapan
14/1/2025	ahuachapan	S/P	Ingresos a Mediación			16-UMYC-03-25	Familiar-->Uso de bien Familiar	Mujer	69.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	N/E																				2° Convocatoria	INASISTENCIA DEL CONVOCADO/A										ARCHIVO DEFINITIVO	enero	ahuachapan
14/1/2025	SAN FRANCISCO MENENDEZ	S/P	Ingresos a Mediación			17-UMYC-03-25	Patrimonial-->Otros	Mujer	76.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																				1° Convocatoria	INASISTENCIA DE AMBAS PARTES										ARCHIVO DEFINITIVO	enero	ahuachapan
16/1/2025	AHUACHAPAN	S/P	Ingresos a Mediación			18-UMYC-03-25	Convivencia-->Vecinal	Hombre	48.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	UNIVERSITARIO																				2° Convocatoria	INASISTENCIA DEL CONVOCADO/A										ARCHIVO DEFINITIVO	enero	ahuachapan
16/1/2025	AHUACHAPAN	S/P	Ingresos a Mediación			19-UMYC-03-25	Patrimonial-->Deuda	Hombre	51.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	EDUCACIÓN BÁSICA																DEFINITIVO				1° Convocatoria	RESOLVIÓ FUERA DE LA PGR										ARCHIVO DEFINITIVO	enero	ahuachapan
16/1/2025	AHUACHAPAN	S/P	Ingresos a Mediación			20-UMYC-03-25	Laboral-->Otros	Hombre	19.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																				2° Convocatoria	INASISTENCIA DEL CONVOCADO/A										ARCHIVO DEFINITIVO	enero	ahuachapan
17/1/2025	AHUACHAPAN	S/P	Ingresos a Mediación			21-UMYC-03-25	Patrimonial-->Otros	Hombre	24.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	BACHILLERATO	Hombre	43.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA					1° Convocatoria	1° Convocatoria	UNA SESIÓN	DEFINITIVO															ARCHIVO DEFINITIVO	enero	ahuachapan
20/1/2025	AHUACHAPAN	S/P	Ingresos a Mediación			22-UMYC-03-25	Patrimonial-->Deuda	Mujer	27.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	BACHILLERATO																																enero	ahuachapan
20/1/2025	AHUACHAPAN	S/P	Ingresos a Mediación			23-UMYC-03-25	Niñez y adolescencia-->Régimen de relación y trato	Mujer	28.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																																enero	ahuachapan
20/1/2025	AHUACHAPAN	S/P	Ingresos a Mediación			24-UMYC-03-25	Patrimonial-->Deuda	Mujer	42.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																																enero	ahuachapan
21/1/2025	TACUBA	S/P	Ingresos a Mediación			25-UMYC-03-25	Patrimonial-->Deuda	Mujer	24.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO	Hombre	28.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO					1° Convocatoria	1° Convocatoria	UNA SESIÓN	DEFINITIVO															ARCHIVO DEFINITIVO	enero	ahuachapan
21/1/2025	ATIQUIZAYA	S/P	Ingresos a Mediación			26-UMYC-03-25	Patrimonial-->Deuda	Hombre	29.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																				1° Convocatoria	INASISTENCIA DE AMBAS PARTES										ARCHIVO DEFINITIVO	enero	ahuachapan
21/1/2025	SONSONATE	S/P	Ingresos a Mediación			27-UMYC-03-25	Niñez y adolescencia-->Régimen de relación y trato	Hombre	36.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	EDUCACIÓN BÁSICA	Mujer	35.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA					1° Convocatoria	1° Convocatoria	UNA SESIÓN	DEFINITIVO															ARCHIVO DEFINITIVO	enero	ahuachapan
21/1/2025	Santa Ana	S/P	Ingresos a Mediación			28-UMYC-03-25	Niñez y adolescencia-->Régimen de relación y trato	Mujer	32.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	BACHILLERATO																																enero	ahuachapan
